1.4659,8.1974,0.040624,0.01016,0.0017473,0.0023359,0.9965,0.99913,0.0013777,623,14.395,1094,719.38,9.4655,4,0.029584,1.3969e+09,6.6669e+06,5.5287e+07,6.1954e+07,76,1.3255e+05,99.662,4.8148,25,81,9750,3.07e-06,0.0011888,0.76629,1.6506e-06,0.0015432,0.60185,0.46429,0.00037143,0.00048148,1.1829e-05,0.00053987,1.3843e-06,3.0525e-06,0.38794,1.6583,0.79618,0.23394,15.076
0.94903,4.3802,0.080514,0.035642,0.0069131,0.075961,0.98565,0.99654,0.0059305,2669,7.3401,4161.8,2990.2,5.2738,-30,0.061144,-4.2587e+09,2.4036e+07,2.694e+08,2.9343e+08,567,5.9696e+05,104.24,4.8148,31.4,81,12246,3.856e-06,0.0014932,0.96246,2.0732e-06,0.0019383,0.75593,0.58314,0.00046651,0.00060474,1.4857e-05,0.00067807,1.7386e-06,3.8339e-06,0.48725,2.0828,1,0.23394,15.076
1.3414,6.5434,0.07297,0.028321,0.0057201,-0.00090459,0.9886,0.99714,0.0045671,2037,11.098,3451.4,2351.2,7.56,22,0.05344,-1.4879e+09,9.7645e+06,2.3183e+08,2.416e+08,311,4.3968e+05,66.933,4.8148,22.5,81,8775,2.763e-06,0.00107,0.68966,1.4856e-06,0.0013889,0.54167,0.41786,0.00033429,0.00043333,1.0646e-05,0.00048588,1.2458e-06,2.7473e-06,0.34914,1.4924,0.88235,0.23394,15.076
0.93425,4.3112,0.093289,0.044499,0.0094031,0.03244,0.98097,0.9953,0.0079237,3471,6.8782,5365,3969.2,5.0887,20,0.069689,-8.2018e+09,2.9251e+07,4.7401e+08,5.0326e+08,780,4.6185e+05,62.362,4.8148,25.5,81,9945,3.1314e-06,0.0012126,0.78162,1.6837e-06,0.0015741,0.61389,0.47357,0.00037886,0.00049111,1.2066e-05,0.00055066,1.412e-06,3.1136e-06,0.39569,1.6914,1,0.23394,15.076
1.4546,8.1854,0.057353,0.018438,0.0034776,-0.0017418,0.99306,0.99826,0.0027476,1236,14.371,2170,1427.2,9.4517,18,0.041651,-5.7232e+08,4.2469e+06,1.2093e+08,1.2518e+08,151,4.7429e+05,81.158,4.8148,18,81,7020,2.2104e-06,0.00085597,0.55173,1.1885e-06,0.0011111,0.43333,0.33429,0.00026743,0.00034667,8.5168e-06,0.0003887,9.9668e-07,2.1978e-06,0.27931,1.194,0.70588,0.23394,15.076
1.4324,7.1918,0.054416,0.016997,0.00314,0.0064275,0.99371,0.99843,0.0025128,1125,12.416,1936.8,1297.3,8.3159,14,0.03974,-1.1896e+09,6.4654e+06,7.0941e+07,7.7407e+07,156,3.5351e+05,80.729,3.6792,22.5,106,8775,1.4228e-06,0.00062478,0.39727,7.6498e-07,0.0010613,0.41392,0.33492,0.00026794,0.00033113,8.5331e-06,0.00038945,9.9858e-07,2.202e-06,0.27932,1.1404,0.66588,0.24492,19.729
0.92843,4.0694,0.065357,0.024358,0.004544,0.052172,0.99068,0.99773,0.0039421,1708,6.1834,2578.5,1967.3,4.7178,17,0.048946,-9.9344e+08,1.048e+07,2.2714e+08,2.3762e+08,417,3.965e+05,74.056,3.6792,33.79,106,13178,2.1367e-06,0.00093828,0.5966,1.1488e-06,0.0015939,0.62161,0.50298,0.00040238,0.00049729,1.2815e-05,0.00058486,1.4996e-06,3.3069e-06,0.41947,1.7127,1,0.24492,19.729
1.1699,4.9042,0.057138,0.019004,0.0035846,0.002892,0.99283,0.99821,0.0029218,1280,7.8084,2038,1478,5.6629,16,0.042385,-8.4942e+08,6.6384e+06,9.9234e+07,1.0587e+08,261,4.2837e+05,83.978,3.6792,27.5,106,10725,1.739e-06,0.00076362,0.48555,9.3498e-07,0.0012972,0.5059,0.40935,0.00032748,0.00040472,1.0429e-05,0.00047599,1.2205e-06,2.6913e-06,0.34139,1.3939,0.80882,0.24492,19.729
1.1871,5.0309,0.057717,0.019298,0.0036436,0.0043145,0.99271,0.99818,0.0029698,1303,8.0618,2088,1504.6,5.8092,17,0.042763,-4.9941e+08,3.8719e+06,1.0761e+08,1.1148e+08,259,4.6747e+05,84.458,3.6792,28.5,106,11115,1.8022e-06,0.00079138,0.5032,9.6898e-07,0.0013443,0.52429,0.42424,0.00033939,0.00041943,1.0809e-05,0.0004933,1.2649e-06,2.7892e-06,0.3538,1.4446,0.83824,0.24492,19.729
0.97416,4.3644,0.073813,0.029774,0.0057454,0.051748,0.98823,0.99713,0.0049599,2160,6.7579,3331.7,2490.9,5.0526,18,0.055025,-3.0458e+09,1.4772e+07,2.2371e+08,2.3848e+08,493,5.6016e+05,85.56,3.6792,34,106,13260,2.15e-06,0.00094411,0.60031,1.156e-06,0.0016038,0.62547,0.50611,0.00040489,0.00050038,1.2894e-05,0.0005885,1.509e-06,3.3275e-06,0.42208,1.7233,1,0.24492,19.729
